x,y
6.446892497609132633e+00,-6.423392379749546244e-01
6.486650056892916183e+00,-6.128055861608299182e-01
6.526979368965850625e+00,-5.842574278620564776e-01
6.596523315248903785e+00,-5.122631006592293090e-01
6.629543469317269455e+00,-4.747163683480666307e-01
6.669882496276326123e+00,-4.468618119076306350e-01
6.705942553681749629e+00,-4.136535949965298720e-01
6.784150282006218724e+00,-3.544461876090663210e-01
6.822525667008610739e+00,-3.237753227235855569e-01
6.852117494241782403e+00,-2.837183718634572749e-01
6.960692994213793838e+00,-1.845532343711964174e-01
7.005866202177825741e+00,-1.594019015192835731e-01
7.045526449763986676e+00,-1.286320094337112252e-01
7.109593959001388797e+00,-5.326246512514676290e-02
7.182118875836408733e+00,1.580045952078723559e-02
7.226434329801199041e+00,4.489466306051781430e-02
7.295066478326567072e+00,1.191338756835929047e-01
7.335594684149496558e+00,1.526065873843349685e-01
7.370606701686562623e+00,1.902133903202565257e-01
7.411016771722040986e+00,2.249155290884390368e-01
7.486925235223769626e+00,2.990942303224735088e-01
7.529354371184625805e+00,3.346357295165607315e-01
7.573984196219774034e+00,3.698418611121851995e-01
7.634790756350254171e+00,4.564962502941767308e-01
7.698754446339319379e+00,4.851184605935137117e-01
7.737748015750910646e+00,5.262951081304887424e-01
7.786318284236550369e+00,5.642658523142045635e-01
7.856689849016472493e+00,6.535820253182278439e-01
7.872106816890864778e+00,9.326176448649288186e-01
7.864510048593017721e+00,9.897456089270471047e-01
7.842204905974432094e+00,1.049595838659466374e+00
7.861726357611130034e+00,1.152642547510264182e+00
3.862277264168669788e+00,2.281814116836376805e+00
3.750926044634555367e+00,2.270420390992103687e+00
3.700305181083479944e+00,2.271009629510475580e+00
3.669639321294866807e+00,2.273416215301119703e+00
3.645498106979653485e+00,2.270694094451992662e+00
3.596003023024053835e+00,2.263624755210036810e+00
3.408567093449881735e+00,2.282638359497966896e+00
3.339574282227501634e+00,2.293307630931349816e+00
3.256184413141227196e+00,2.307713451394358906e+00
3.181899806399812292e+00,2.290602144016910202e+00
2.529202584630220407e+00,2.438582788417164693e+00
2.381758046504137916e+00,-6.178733462004177834e-01
2.693125109141246476e+00,-6.505435509458801224e-01
2.846295716214386928e+00,-7.003334268855054834e-01
2.916333495970771406e+00,-6.830431753883032808e-01
2.976393107302734542e+00,-6.797346104498591668e-01
3.108236576495922332e+00,-7.513189980770580423e-01
3.160067369118649161e+00,-7.589118934823926299e-01
3.209270524944721537e+00,-7.709351940892992250e-01
3.456926552123365859e+00,-8.133545292827648598e-01
3.605562244820737394e+00,-8.251744378245791101e-01
3.800757001150445902e+00,-8.316729075774034197e-01
4.790876715935167951e+00,-1.265365113776118156e+00
4.846253943476804160e+00,-1.269812678569568254e+00
4.955656074210474493e+00,-1.263897239303643838e+00
5.016732612061419516e+00,-1.290850095863467439e+00
5.072700804899145766e+00,-1.288270867901317507e+00
5.184669224244207619e+00,-1.279105119284226655e+00
5.314872230183155466e+00,-1.327281575632246691e+00
5.376969519361298744e+00,-1.334561271892345191e+00
5.499751978861562307e+00,-1.336957596089922928e+00
5.556262849051702091e+00,-1.321837841586504636e+00
5.622061890353732494e+00,-1.329913260439555378e+00
5.725370389983008401e+00,-1.272232265078804714e+00
5.773196421180754712e+00,-1.235746389970973746e+00
5.816298849776825541e+00,-1.190402913783308536e+00
5.856020383990006906e+00,-1.140009971499400310e+00
5.953361370189591995e+00,-1.078331910174538999e+00
6.043634598423262894e+00,-1.005701622687904306e+00
6.205030969983001299e+00,-8.382594212650993359e-01
6.365544090966595014e+00,-6.802732287825572488e-01
6.546647901594763397e+00,-5.498556318500404938e-01
6.571723305042989516e+00,-4.951816614994009047e-01
